Date.Lodged,National,Ashburton District,Auckland,Buller District,Carterton District,Central Hawkes Bay District,Central Otago District,Christchurch,Clutha District,Dunedin,Far North District,Franklin District,Gisborne District,Gore District,Grey District,Hamilton,Hastings District,Hauraki District,Horowhenua District,Hurunui District,Invercargill,Kaikoura District,Kaipara District,Kapiti Coast District,Kawerau District,Lower Hutt,Mackenzie District,Manawatu District,Manukau,Marlborough District,Masterton District,Matamata-Piako District,Napier,Nelson,New Plymouth District,North Shore,Opotiki District,Otorohanga District,Palmerston North,Papakura District,Porirua,Queenstown-Lakes District,Rangitikei District,Rodney District,Rotorua District,Ruapehu District,Selwyn District,South Taranaki District,South Waikato District,South Wairarapa District,Southland District,Stratford District,Tararua District,Tasman District,Taupo District,Tauranga District,Thames-Coromandel District,Timaru District,Upper Hutt,Waikato District,Waimakariri District,Waimate District,Waipa District,Wairoa District,Waitakere,Waitaki District,Waitomo District,Wanganui District,Wellington,Western Bay Of Plenty District,Westland District,Whakatane District,Whangarei District
1/11/1993,153.1903562,111.1446661,187.7068529,89.80167472,108.1528502,115.5588941,112.93508,147.0307642,100.3484252,151.841069,117.9666688,157.2648757,121.1975659,81.48891,126.7886505,141.5122746,138.5749869,115.7084289,116.2018443,96.31067528,108.4735031,80.6714323,88.58664793,145.2831608,111.8168422,158.6974947,68.03799466,124.6599974,187.1386672,129.0089524,105.776601,116.3812599,144.7179528,153.9527365,132.3210832,210.8088416,101.8440547,121.7306082,155.0961086,181.1962153,160.1908257,173.9123056,100.531938,167.8599295,128.0090666,85.55533566,139.5247921,112.0870874,107.2499416,105.8557306,87.10982531,95.03507232,101.9954913,134.94984,119.0905296,156.5162293,126.6992543,108.3162123,164.2383723,115.3310522,137.5314013,NA,133.383808,97.60365546,181.4446698,99.04001464,98.42729428,118.3846096,177.6695368,132.916259,NA,127.9581595,126.1399136
1/12/1993,156.0180289,110.2974952,198.946978,103.7618004,111.4478272,98.5848236,117.419858,144.2137551,77.27491318,149.2695134,123.4837368,150.181436,129.7142319,95.42147753,123.6050021,141.467389,142.6642756,122.3815479,121.6764694,NA,110.9418311,NA,88.72701624,147.6683661,90.07264317,171.6451099,NA,140.2278217,188.9775931,136.6978864,112.1974034,116.0617247,141.2281344,146.610974,135.9093219,209.1504971,119.368386,NA,155.6145943,174.9445985,182.1400186,187.7745565,114.2727908,163.9049717,128.7316587,106.4063697,85.06735532,117.2928713,99.67969526,111.4298509,105.9857605,93.98169263,107.0533704,136.8557803,122.6761056,150.9509892,129.7283091,103.0507047,150.2856554,122.2004659,137.4592057,91.23091989,139.1891779,NA,192.0426007,99.42675818,115.2835204,112.6318319,187.6047551,133.6700748,99.25799806,130.0277107,125.9221074
1/01/1994,154.5052901,123.7446326,194.7215208,70.76503125,NA,99.34851995,103.7617763,151.1868172,68.60354761,142.8704451,108.8389384,144.8070454,128.5497971,106.7462546,111.1562838,138.6108815,139.5964558,111.6428269,119.5513127,87.81167065,98.82727719,75.83794794,100.2032852,149.760678,115.8879338,149.8429638,NA,126.8327025,191.9980595,132.1524913,103.8862639,117.1194401,144.2683388,148.5282835,130.230782,216.1424383,NA,NA,155.822525,188.5252658,164.7067174,158.3539481,98.18213844,168.4115182,129.5126746,97.94457526,140.0756948,113.3337777,106.5087645,93.07793226,NA,98.70018538,95.58167216,125.0649671,127.4007323,157.5593782,123.2758832,105.6203499,145.946103,110.5893602,142.5337487,NA,140.1097542,74.30733768,182.8123908,91.31549092,89.88437251,121.3844658,191.155284,132.6796359,NA,138.8721539,128.7851297
1/02/1994,153.4683951,99.74946195,194.958895,75.51891404,106.5902325,102.8821322,105.4026728,152.8618629,71.12904436,148.8468318,117.6132356,148.5784161,130.1828683,87.30179048,101.0826136,136.3532076,135.6254942,116.2299326,114.706674,73.64456773,102.6919219,87.4456422,91.59391736,150.4407962,118.3389708,173.9034845,NA,135.9858337,197.5914753,126.4663792,111.8698358,120.7026841,146.2072734,149.9610779,134.1557314,206.4350653,117.7954756,NA,159.4955343,179.2314472,170.1108281,170.670459,100.0209989,170.9934637,133.2487346,84.92239129,123.8617363,92.37587811,103.0381133,109.5655789,65.48377781,91.18989168,107.4592702,127.9307137,121.2463926,154.4465233,127.7402455,104.2273623,145.7369345,117.7723739,138.7661347,NA,130.1367554,79.50454284,179.1686242,84.57029368,NA,119.5386294,186.9392696,131.7711973,111.0625938,121.0227788,115.7146676
1/03/1994,155.559251,104.0433443,204.3880682,78.34383732,112.1792506,114.0739323,96.13457485,153.3270407,74.46633764,149.5712689,114.1766089,151.8409783,124.3253631,88.24398613,116.4963631,137.7570639,141.1464548,121.5654427,126.0746356,74.38010265,107.7605991,NA,110.1491443,141.0362939,101.483666,161.2471391,48.97175462,127.9187911,189.7764955,129.7622288,110.7621435,119.571045,139.9501025,151.2134612,127.9854623,218.6191151,112.3589402,NA,157.772113,172.6460483,167.3509983,183.9100908,93.40941198,159.6547156,127.0783838,93.20663251,141.1396863,104.5557188,107.7709422,109.797682,74.89664648,94.3157156,94.90471299,134.6220409,125.2728019,151.271175,116.5919314,103.7071524,157.0463123,113.8191587,141.2965792,NA,138.4223778,85.53851539,188.8229364,96.49088034,86.09978248,116.059136,189.7823686,135.0589056,115.6098965,132.3675544,126.8826028
1/04/1994,156.267619,113.1916796,200.0675331,78.9809739,103.4893979,108.714879,95.89580827,151.7794603,87.13981621,143.1411913,109.9797345,149.1077156,132.9767284,98.34087979,116.5845393,139.0799784,143.1298239,112.9811702,118.1034485,NA,107.8300945,NA,106.4815087,140.1030719,118.1511367,157.9695569,NA,122.9347864,194.97861,134.4791488,108.9570929,118.3735283,142.3232865,149.8788054,131.2496945,216.926634,NA,116.9009905,164.970839,182.4801788,163.5791586,174.5770298,103.5248407,174.7476217,131.1252775,89.53236842,121.9951298,113.198637,97.10128655,105.3819227,73.46071703,90.74623853,102.146365,131.6839683,130.6617164,154.891948,124.8401289,105.4832233,159.3638436,107.8414669,147.6961238,99.614215,135.3435735,NA,185.4516808,91.21254351,70.82781287,114.8514989,197.1785875,133.656935,134.1437568,137.8369964,127.768537
1/05/1994,157.0347288,108.340426,204.7537959,105.2035523,107.9630348,118.9184354,106.4752515,148.1712866,86.78145194,145.219549,118.3391444,155.4477236,134.5713636,92.0574062,100.9477232,143.2686768,144.3541353,123.165531,116.4823961,76.79141546,108.7094918,NA,105.1456031,148.7605602,113.1082976,167.0890914,NA,134.6100897,196.9961349,128.4094912,110.4639699,115.7709184,147.5655124,150.8752729,132.11148,223.1962836,105.8929909,NA,145.0061228,176.8484303,176.8381737,179.5902578,95.9410573,173.7569058,134.1623774,98.97613117,147.1532101,105.9757405,105.5243153,103.3753207,77.58395341,97.75491781,97.64117409,120.0832222,136.6693042,157.4914022,115.8543442,102.6195573,154.3781242,104.7350349,144.4922857,88.90916869,140.3676512,65.62115048,192.2950036,95.8861443,89.78888559,115.7354954,183.456472,135.1445544,86.59428673,140.4975116,125.5096532
1/06/1994,156.9665734,108.8340114,206.6843425,109.3975984,113.0865326,109.0745868,113.7540172,151.0446644,75.35153252,137.9238563,121.3907581,158.3452219,128.6948154,103.1103377,115.6235177,147.266811,139.9988623,106.7469586,115.5701656,86.27198783,102.851677,110.5101542,84.69440853,147.1812594,118.1074082,165.1378637,75.98817257,133.9464535,204.6244016,130.3166799,108.4086933,122.5663443,146.5731549,150.8731374,133.7833292,221.4941968,103.4413963,NA,150.1337821,179.5049241,164.9673469,171.2259865,111.4879111,170.618976,136.052054,101.1544976,134.9627622,112.0141939,108.6787217,105.03288,74.54707386,95.97809828,109.3259417,129.2547688,123.6341467,160.8059093,126.6979628,112.9292776,156.6124245,113.1768709,134.2976005,NA,138.4922179,90.52365789,190.9254632,82.96836115,90.01401352,114.1066537,186.7945845,134.7874305,NA,122.808732,124.7598211
1/07/1994,157.4794118,111.6833987,210.5675887,99.38215139,116.3453084,105.4673603,116.8353582,151.216877,90.85539828,137.4736365,125.1984078,154.1986525,133.9016709,89.10955394,124.5621019,141.3703148,143.8865489,124.3323208,123.4525659,NA,108.7500386,127.5877663,110.8005839,152.9940626,126.5745528,157.3610855,54.24395739,151.430532,199.9542488,135.9936539,108.9747244,115.5611158,147.7771947,152.3967344,139.3388379,229.9341902,NA,NA,141.445685,182.1931691,147.4516701,182.750223,98.62017055,171.2891371,133.3727977,109.3586237,90.22671891,110.3467234,110.384024,NA,78.04461872,103.1078155,97.46650145,127.0409906,136.6843058,158.3503775,126.2148954,103.9919604,154.1989522,119.5167489,133.6878965,92.82212015,133.619735,91.07322114,187.7054496,88.42198885,95.43212362,119.55703,189.3011889,137.0386112,112.6979307,136.1166448,126.7311946
1/08/1994,157.9427598,116.2924676,205.9176875,116.2053738,102.8781229,119.9891286,112.9547068,149.2910701,76.88671219,132.9419258,126.6028316,152.7501322,131.1571103,94.28260273,110.3478032,146.4035514,138.9091113,121.7536517,116.3551396,58.29261037,109.406054,NA,99.56329463,147.090134,117.879329,163.2705552,91.67795112,124.0609469,199.3492843,130.8837681,112.5600518,118.0560934,144.9813825,150.9877781,134.3794124,221.4807248,110.4831265,113.4376864,147.3322767,179.6631848,161.5125486,181.8854899,103.5398287,175.6979188,134.700698,89.95984025,134.0656898,111.2373427,109.6123164,109.0629742,84.96931251,93.10858844,94.63974852,141.3786531,127.225852,156.7046351,131.1587997,104.1718899,147.3619348,121.5154408,139.963485,NA,140.4087629,106.0880047,193.2794698,103.8638319,110.273439,120.10877,190.3404855,128.407249,100.6477527,123.3784431,129.1397532
